threshold,precision,recall,f1
0.0009174030196678881,0.09560362875087229,1.0,0.17452229299363056
0.0012612496885179485,0.0958041958041958,1.0,0.1748564135290364
0.0013544894023209176,0.09587123862841147,1.0,0.17496807151979565
0.0014566304895609922,0.09600560616678346,1.0,0.17519181585677748
0.0015873129545256152,0.09607293127629733,1.0,0.17530390275111965
0.0019181187019371108,0.09647887323943662,1.0,0.17597944765574824
0.002130637783815064,0.09668313338038109,1.0,0.17631917631917632
0.0021370520158184242,0.09675141242937853,1.0,0.17643271088216356
0.002160051871803779,0.09709425939050319,1.0,0.17700258397932817
0.002461240170802434,0.09730113636363637,1.0,0.1773462783171521
0.0024773849577009693,0.09750889679715302,1.0,0.17769130998702984
0.0032061250852427592,0.09757834757834757,1.0,0.17780661907852044
0.00321587532220722,0.09764789736279401,1.0,0.17792207792207793
0.003263771147516196,0.09785714285714285,1.0,0.1782693558880937
0.00343512939892541,0.09792709077912795,1.0,0.17838541666666666
0.003686592272007186,0.09799713876967096,1.0,0.17850162866449512
0.0038082128722655363,0.09806728704366499,1.0,0.17861799217731422
0.004368924696368539,0.09813753581661891,1.0,0.17873450750163078
0.004499059263619553,0.0982078853046595,1.0,0.17885117493472585
0.004560836509938398,0.09834888729361091,1.0,0.17908496732026144
0.004790653330397939,0.098490294751977,1.0,0.1793193717277487
0.005183351670648009,0.09863210943124551,1.0,0.17955439056356487
0.005301479748765759,0.09898843930635838,1.0,0.18014464168310323
0.0053282104367772315,0.09934735315445975,1.0,0.18073878627968337
0.00554835030254939,0.09956395348837209,1.0,0.1810971579643093
0.005586164917094104,0.099927060539752,1.0,0.1816976127320955
0.005621320807887896,0.10007304601899196,1.0,0.18193891102257637
0.006046553915079581,0.10021945866861741,1.0,0.18218085106382978
0.006401842535270201,0.10051357300073367,1.0,0.18266666666666667
0.006767839499412949,0.10066127847171198,1.0,0.1829105473965287
0.006770093642804802,0.10103244837758112,1.0,0.18352310783657066
0.0069367349670051955,0.10118168389955687,1.0,0.18376928236083165
0.007116409987998535,0.10125646711012565,1.0,0.18389261744966443
0.007246769907990624,0.10140636565507032,1.0,0.18413978494623656
0.007755281637729212,0.10155670867309118,1.0,0.18438761776581428
0.007762859544363277,0.10178306092124814,1.0,0.18476062036412677
0.007828355509552071,0.10208643815201192,1.0,0.1852603110209601
0.00796980002818905,0.10223880597014925,1.0,0.1855111712931618
0.008567988519325078,0.10262172284644194,1.0,0.18614130434782608
0.008632286181236985,0.10277569392348088,1.0,0.18639455782312925
0.008704761089779188,0.10316265060240964,1.0,0.18703071672354948
0.008819802537207422,0.1033182503770739,1.0,0.1872863978127136
0.009148225697398173,0.10363086232980333,1.0,0.18779986291980807
0.009309211244859072,0.1039453717754173,1.0,0.18831615120274914
0.00931170669914071,0.10418250950570342,1.0,0.1887052341597796
0.009598569398449584,0.10426179604261795,1.0,0.18883528600964852
0.009769533101090326,0.10434120335110435,1.0,0.1889655172413793
0.00984060635733594,0.10442073170731707,1.0,0.189095928226363
0.009845563465154498,0.10450038138825324,1.0,0.18922651933701656
0.009940425531426324,0.10482019892884469,1.0,0.18975069252077562
0.010155250181980538,0.10490045941807044,1.0,0.18988218988218988
0.010284301616890907,0.10522273425499232,1.0,0.19041000694927032
0.010347990529526011,0.10546574287913779,1.0,0.19080779944289694
0.0105948126227149,0.10570987654320987,1.0,0.19120725750174458
0.010722709107403321,0.10579150579150579,1.0,0.19134078212290503
0.010857980555056379,0.10595514307811292,1.0,0.1916083916083916
0.010999389803201018,0.10611928737412858,1.0,0.19187675070028012
0.011145853406562361,0.1062015503875969,1.0,0.1920112123335669
0.011314407182211045,0.10628394103956555,1.0,0.19214586255259467
0.011393311566949678,0.10653188180404355,1.0,0.19255094869992972
0.011477517196146491,0.1066147859922179,1.0,0.19268635724331926
0.011531740483331856,0.10678098207326578,1.0,0.19295774647887323
0.011758954653799218,0.10703125,1.0,0.19336626676076218
0.011817070666925522,0.10711493354182955,1.0,0.19350282485875706
0.012234192709622766,0.10728269381362568,1.0,0.19377652050919378
0.01234081216475159,0.10736677115987461,1.0,0.19391365888181175
0.01261428429354775,0.10745098039215686,1.0,0.19405099150141644
0.012707007952045404,0.1075353218210361,1.0,0.19418851878100638
0.012935058111754204,0.1078740157480315,1.0,0.1947405828002843
0.012963720917459483,0.10795902285263988,1.0,0.19487908961593173
0.013107390394215683,0.10812943962115233,1.0,0.19515669515669515
0.013718841531360954,0.10821484992101106,1.0,0.19529579472558803
0.013861832303041265,0.108300395256917,1.0,0.19543509272467904
0.013987293055204388,0.10847189231987332,1.0,0.1957142857142857
0.014117264370765398,0.10864393338620143,1.0,0.19599427753934193
0.01431340483841258,0.10881652104845115,1.0,0.19627507163323782
0.015026955824456152,0.10898965791567224,1.0,0.19655667144906744
0.015068611409944933,0.10916334661354582,1.0,0.1968390804597701
0.015150732882452368,0.10925039872408293,1.0,0.196980589503954
0.015698470319359132,0.10942492012779553,1.0,0.19726421886249101
0.015782182342445748,0.10968775020016013,1.0,0.1976911976911977
0.015829296401819903,0.10977564102564102,1.0,0.19783393501805055
0.015829327809100176,0.11021721641190668,1.0,0.19855072463768117
0.01583974692264435,0.11039484286865431,1.0,0.1988388969521045
0.016087506955210638,0.11057304277643261,1.0,0.19912790697674418
0.01610816776499463,0.11075181891673404,1.0,0.19941775836972345
0.016350529978376466,0.11102106969205834,1.0,0.199854121079504
0.016442606799778044,0.1112012987012987,1.0,0.20014609203798392
0.016673256878063994,0.11138211382113822,1.0,0.20043891733723482
